SKU,ISO_Week,Sales,Season
SKU_101,2018-01,0.0,WINTER
SKU_101,2018-02,0.0,WINTER
SKU_101,2018-03,0.0,WINTER
SKU_101,2018-04,6988.0,WINTER
SKU_101,2018-04,6988.0,WINTER
SKU_101,2018-05,6743.0,WINTER
SKU_101,2018-06,4112.0,WINTER
SKU_101,2018-07,5732.0,WINTER
SKU_101,2018-08,,WINTER
SKU_101,2018-09,5559.0,SPRING
SKU_101,2018-10,5381.0,SPRING
SKU_101,2018-11,11709.0,SPRING
SKU_101,2018-12,10410.0,SPRING
SKU_101,2018-13,10211.0,SPRING
SKU_101,2018-14,10378.0,SPRING
SKU_101,2018-15,10012.0,SPRING
SKU_101,2018-15,10012.0,SPRING
SKU_101,2018-16,10178.0,SPRING
SKU_101,2018-17,11316.0,SPRING
SKU_101,2018-18,,SPRING
SKU_101,2018-19,11384.0,SPRING
SKU_101,2018-20,10470.0,SPRING
SKU_101,2018-21,5471.0,SPRING
SKU_101,2018-22,4874.0,SPRING
SKU_101,2018-23,6746.0,SUMMER
SKU_101,2018-24,10777.0,SUMMER
SKU_101,2018-25,3730.0,SUMMER
SKU_101,2018-26,11159.0,SUMMER
SKU_101,2018-27,6568.0,SUMMER
SKU_101,2018-28,4915.0,SUMMER
SKU_101,2018-29,,SUMMER
SKU_101,2018-30,,SUMMER
SKU_101,2018-31,4579.0,SUMMER
SKU_101,2018-32,6780.0,SUMMER
SKU_101,2018-33,3648.0,SUMMER
SKU_101,2018-34,3036.0,SUMMER
SKU_101,2018-35,3425.0,SUMMER
SKU_101,2018-36,4979.0,AUTUMN
SKU_101,2018-37,3115.0,AUTUMN
SKU_101,2018-38,3722.0,AUTUMN
SKU_101,2018-39,6545.0,AUTUMN
SKU_101,2018-40,6699.0,AUTUMN
SKU_101,2018-41,6412.0,AUTUMN
SKU_101,2018-42,4740.0,AUTUMN
SKU_101,2018-43,4341.0,AUTUMN
SKU_101,2018-44,5363.0,AUTUMN
SKU_101,2018-45,12120.0,AUTUMN
SKU_101,2018-46,3314.0,AUTUMN
SKU_101,2018-47,4673.0,AUTUMN
SKU_101,2018-48,12376.0,AUTUMN
SKU_101,2018-49,14853.0,WINTER
SKU_101,2018-50,12447.0,WINTER
SKU_101,2018-51,12247.0,WINTER
SKU_101,2018-52,13679.0,WINTER
SKU_102,2018-01,,WINTER
SKU_102,2018-02,,WINTER
SKU_102,2018-03,,WINTER
SKU_102,2018-04,-23.0,WINTER
SKU_102,2018-05,446.0,WINTER
SKU_102,2018-06,361.0,WINTER
SKU_102,2018-07,229.0,WINTER
SKU_102,2018-08,219.0,WINTER
SKU_102,2018-08,219.0,WINTER
SKU_102,2018-09,495.0,SPRING
SKU_102,2018-10,278.0,SPRING
SKU_102,2018-11,316.0,SPRING
SKU_102,2018-12,-50.0,SPRING
SKU_102,2018-13,0.0,SPRING
SKU_102,2018-14,0.0,SPRING
SKU_102,2018-15,0.0,SPRING
SKU_102,2018-16,0.0,SPRING
SKU_102,2018-17,0.0,SPRING
SKU_102,2018-18,0.0,SPRING
SKU_102,2018-19,0.0,SPRING
SKU_102,2018-20,442.0,SPRING
SKU_102,2018-21,459.0,SPRING
SKU_102,2018-22,392.0,SPRING
SKU_102,2018-23,381.0,SUMMER
SKU_102,2018-24,288.0,SUMMER
SKU_102,2018-25,240.0,SUMMER
SKU_102,2018-26,361.0,SUMMER
SKU_102,2018-27,0.0,SUMMER
SKU_102,2018-28,0.0,SUMMER
SKU_102,2018-29,-45.0,SUMMER
SKU_102,2018-30,0.0,SUMMER
SKU_102,2018-31,0.0,SUMMER
SKU_102,2018-32,0.0,SUMMER
SKU_102,2018-33,241.0,SUMMER
SKU_102,2018-34,328.0,SUMMER
SKU_102,2018-35,233.0,SUMMER
SKU_102,2018-36,293.0,AUTUMN
SKU_102,2018-37,387.0,AUTUMN
SKU_102,2018-38,385.0,AUTUMN
SKU_102,2018-39,442.0,AUTUMN
SKU_102,2018-40,0.0,AUTUMN
SKU_102,2018-41,0.0,AUTUMN
SKU_102,2018-42,-23.0,AUTUMN
SKU_102,2018-43,0.0,AUTUMN
SKU_102,2018-44,0.0,AUTUMN
SKU_102,2018-45,0.0,AUTUMN
SKU_102,2018-46,376.0,AUTUMN
SKU_102,2018-47,483.0,AUTUMN
SKU_102,2018-48,301.0,AUTUMN
SKU_102,2018-49,489.0,WINTER
SKU_102,2018-50,487.0,WINTER
SKU_102,2018-51,464.0,WINTER
SKU_102,2018-52,488.0,WINTER
SKU_103,2018-11,5495.0,SPRING
SKU_103,2018-12,6330.0,SPRING
SKU_103,2018-13,6144.0,SPRING
SKU_103,2018-14,6383.0,SPRING
SKU_103,2018-15,5533.0,SPRING
SKU_103,2018-15,5533.0,SPRING
SKU_103,2018-16,6619.0,SPRING
SKU_103,2018-17,-111.0,SPRING
SKU_103,2018-18,-149.0,SPRING
SKU_103,2018-19,-163.0,SPRING
SKU_103,2018-20,-119.0,SPRING
SKU_103,2018-21,11793.0,SPRING
SKU_103,2018-22,11583.0,SPRING
SKU_103,2018-23,11828.0,SUMMER
SKU_103,2018-24,11672.0,SUMMER
SKU_103,2018-25,10317.0,SUMMER
SKU_103,2018-26,10468.0,SUMMER
SKU_103,2018-27,10186.0,SUMMER
SKU_103,2018-28,10892.0,SUMMER
SKU_103,2018-29,10961.0,SUMMER
SKU_103,2018-30,52524.0,SUMMER
SKU_103,2018-31,10532.0,SUMMER
SKU_103,2018-32,10168.0,SUMMER
SKU_103,2018-33,11533.0,SUMMER
SKU_103,2018-34,11663.0,SUMMER
SKU_103,2018-35,10197.0,SUMMER
SKU_103,2018-36,11549.0,AUTUMN
SKU_103,2018-37,11856.0,AUTUMN
SKU_103,2018-38,4185.0,AUTUMN
SKU_103,2018-39,4357.0,AUTUMN
SKU_103,2018-40,3730.0,AUTUMN
SKU_103,2018-41,3158.0,AUTUMN
SKU_103,2018-42,3768.0,AUTUMN
SKU_103,2018-43,3929.0,AUTUMN
SKU_103,2018-44,4588.0,AUTUMN
SKU_103,2018-45,3212.0,AUTUMN
SKU_103,2018-46,14521.0,AUTUMN
SKU_103,2018-47,14510.0,AUTUMN
SKU_103,2018-48,12927.0,AUTUMN
SKU_103,2018-49,11595.0,WINTER
SKU_103,2018-50,10061.0,WINTER
SKU_103,2018-51,10859.0,WINTER
SKU_103,2018-52,13093.0,WINTER
